번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
1016,공중화장실,등촌7종합사회복지관 1층 화장실,서울특별시 강서구 공항대로43길 104,서울특별시 강서구 등촌동 707,N,2,2,0,1,169,0,2,0,0,등촌7종합사회복지관,02-2658-6521,09:00~18:00,1994-03,,,지방자치단체,공공용시설,수세식,없음,Y,없음,,2021-08-03
1017,공중화장실,등촌9종합사회복지관 1층 화장실,서울특별시 강서구 화곡로 63가길 92,서울특별시 강서구 등촌동 704,N,2,2,1,0,170,0,3,1,0,등촌9종합사회복지관,02-2658-4127,09:00~18:00,1992-06,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-08-03
1018,공중화장실,방화2종합사회복지관 화장실,서울특별시 강서구 방화대로48길 40,서울특별시 강서구 방화동 839,N,1,2,1,0,171,0,2,1,0,방화2종합사회복지관,02-2662-6661,09:00~18:00,1993-08,,,지방자치단체,공공용시설,수세식,없음,Y,없음,,2021-08-03
1019,공중화장실,방화6종합사회복지관 1층 화장실,서울특별시 강서구 금낭화로23길 25,서울특별시 강서구 방화동 816,N,1,2,1,0,172,0,1,1,0,방화6종합사회복지관,02-2666-6181,09:00~18:00,1994-07,,,지방자치단체,공공용시설,수세식,여자화장실,Y,여자화장실,,2021-08-03
1020,공중화장실,방화11종합사회복지관 화장실,서울특별시 강서구 개화동로21길 4,서울특별시 강서구 방화동 851,N,1,2,1,0,173,0,2,1,0,방화11종합사회복지관,02-2661-0670,09:00~18:00,1994-05,,,지방자치단체,공공용시설,수세식,없음,Y,없음,,2021-08-03
1021,공중화장실,가양4종합사회복지관 화장실,서울특별시 강서구 양천로57길 37,서울특별시 강서구 가양동 1478,N,2,2,1,0,174,0,2,1,0,가양4종합사회복지관,02-2668-6689,09:00~18:00,1992-07,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-08-03
1022,공중화장실,가양4종합사회복지관 2층 화장실,서울특별시 강서구 양천로57길 37,서울특별시 강서구 가양동 1478,N,2,2,1,0,175,0,3,1,0,가양4종합사회복지관,02-2668-6689,09:00~18:00,1992-06,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-08-03
1023,공중화장실,가양5종합사회복지관 2층 화장실,서울특별시 강서구 양천로57길 36,서울특별시 강서구 가양동 1481,N,3,4,1,0,176,0,4,1,0,가양5종합사회복지관,02-2668-4603,09:00~18:00,1992-06,,,지방자치단체,공공용시설,수세식,없음,N,,,2021-08-03
1024,공중화장실,가양동 견인차량보관소 화장실,서울특별시 강서구 양천로59길 16-9,서울특별시 강서구 가양동 451-7,N,1,1,0,0,177,0,1,0,0,강서구시설관리공단 거주자주차팀,02-3661-1936,09:00~18:00,1996-04,,,공공기관,공공용시설,수세식,없음,Y,없음,,2021-08-03
1025,공중화장실,가양7종합사회복지관 1층 화장실,서울특별시 강서구 허준로 209,서울특별시 강서구 가양동 1486,N,1,2,0,0,178,0,2,1,0,가양7종합사회복지관,02-2668-8600,09:00~18:00,1992-06,,,지방자치단체,공공용시설,수세식,없음,Y,없음,,2021-08-03
1026,공중화장실,곰달래어르신복지센터 3층 화장실,서울특별시 강서구 강서로5길 50,서울특별시 강서구 화곡동 890,N,2,3,1,0,179,0,5,1,0,강서구청 어르신복지과,02-2605-1553,09:00~18:00,2013-05,,,지방자치단체,공공용시설,수세식,,N,없음,,2021-08-03
1027,공중화장실,강서노인종합복지관,서울특별시 강서구 화곡로61길 85,서울특별시 강서구 등촌동 661-4,Y,1,1,0,0,180,0,1,1,0,강서구청 어르신복지과,02-2605-1553,09:00~18:00,1999-07,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-08-03
1028,공중화장실,서울식물원 습지원,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,4,4,1,0,181,0,8,1,0,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1029,공중화장실,서울식물원 호수공원,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,4,4,1,0,182,0,8,1,0,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1030,공중화장실,서울식물원 방문자센터,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,5,5,1,0,183,0,10,1,0,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1031,공중화장실,서울식물원 숲문화학교,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,3,3,1,0,184,0,6,1,0,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1032,공중화장실,서울식물원 주제원,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,3,3,1,0,185,0,6,1,0,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1033,공중화장실,서울식물원 티하우스,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,3,3,1,0,186,0,6,1,0,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1034,공중화장실,서울식물원 어린이정원,서울특별시 강서구 마곡동로 161,서울특별시 강서구 마곡동 812,N,3,3,1,0,187,1,6,1,1,서울식물원,02-2104-9727,00:00~24:00,2018-04,,,지방자치단체,공공용시설,수세식,,Y,,,2021-08-03
1035,공중화장실,강서소방서,서울특별시 강서구 양천로 550,서울특별시 강서구 등촌동 630-2,N,3,3,0,0,188,0,1,0,0,강서소방서 소방행정과,02-3662-9119,00:00~24:00,1983-05,,,지방자치단체,공공용시설,수세식,없음,N,없음,2020-02,2021-08-03
1036,공중화장실,강서소방서,서울특별시 강서구 양천로 550,서울특별시 강서구 등촌동 630-2,N,1,3,1,0,189,0,2,0,1,강서소방서 소방행정과,02-3662-9119,00:00~24:00,1983-05,,,지방자치단체,공공용시설,수세식,없음,N,없음,2018-04,2021-08-03
1037,공중화장실,화곡119안전센터,서울특별시 강서구 까치산로 49,서울특별시 강서구 화곡동 61-8,Y,1,2,2,0,190,0,1,0,0,강서소방서 소방행정과,02-2602-0119,00:00~24:00,1995-06,,,지방자치단체,공공용시설,수세식,없음,N,없음,2016-05,2021-08-03
1038,공중화장실,발산119안전센터,서울특별시 강서구 강서로 329,서울특별시 강서구 내발산동 667-1,Y,1,1,3,0,191,0,1,0,0,강서소방서 소방행정과,02-2663-0119,00:00~24:00,2004-04,,,지방자치단체,공공용시설,수세식,없음,N,없음,2019-04,2021-08-03
1039,공중화장실,방화119안전센터,서울특별시 강서구 금낭화로26길 10,서울특별시 강서구 방화동 821,Y,1,2,4,0,192,0,1,0,0,강서소방서 소방행정과,02-2665-3115,00:00~24:00,1996-05,,,지방자치단체,공공용시설,수세식,없음,N,없음,2015-04,2021-08-03
1040,공중화장실,개화119안전센터,서울특별시 강서구 개화동로19길 8,서울특별시 강서구 개화동 559-15,Y,1,1,5,0,193,0,1,0,0,강서소방서 소방행정과,02-2662-7119,00:00~24:00,2005-06,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-08-03
1041,공중화장실,마곡119안전센터,서울특별시 강서구 마곡서로 9,서울특별시 강서구 마곡동 749-8,N,1,2,6,0,194,0,2,0,0,강서소방서 소방행정과,02-2666-1119,00:00~24:00,2019-03,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-08-03
1042,공중화장실,두포 해수욕장 화장실,전라남도 여수시 남면 금오서부로 480-4,전라남도 여수시 남면 두모리 1558번지 7호,N,2,2,1,0,0,0,2,1,0,여수시(관광과),061-659-3892,24시간,Jan-12,,,,,,,,,,
1043,공중화장실,두포마을 화장실,전라남도 여수시 남면 금오서부로 435-6,전라남도 여수시 남면 두모리 1393번지 4호,N,0,2,1,0,0,0,2,1,0,여수시(관광과),061-659-3892,24시간,Jan-11,,,,,,,,,,
1044,공중화장실,하화도 화장실 및 샤워장,전남 여수시 화정면 하화리 305,전남 여수시 화정면 하화리 305,N,1,2,1,0,0,0,1,1,0,여수시(관광과),061-659-3892,07:00~ 19:00,Jan-13,,,,,,,,,,
1045,공중화장실,추도 화장실,전라남도 여수시 화정면 추도길 1,전라남도 여수시 화정면 낭도리 7번지,N,2,3,0,0,0,0,3,0,0,여수시(관광과),061-659-3892,09:00~ 18:00,Jan-04,,,,,,,,,,
1046,공중화장실,사도 관광센터 내 화장실,"전라남도 여수시 화정면 사도길 8-1, 사도관광센타",전라남도 여수시 화정면 낭도리 210번지 14호 사도관광센타,N,4,9,0,0,0,0,6,0,0,여수시(관광과),061-659-3892,07:00~ 20:00,Jan-02,,,,,,,,,,
1047,공중화장실,사도(중도) 화장실 및 샤워장,"전라남도 여수시 화정면 사도길 8-2, 사도샤워장",전라남도 여수시 화정면 낭도리 210번지 18호 사도샤워장,N,3,3,0,0,0,0,4,0,0,여수시(관광과),061-659-3892,24시간,Jan-06,,,,,,,,,,
1048,공중화장실,상화도 화장실 1,전남 여수시 화정면 상화리 전15,전남 여수시 화정면 상화리 전15,N,1,2,0,0,0,0,3,0,0,여수시(관광과),061-659-3892,08:00~ 19:00,Jan-15,,,,,,,,,,
1049,공중화장실,상화도 화장실 2,전남 여수시 화정면 상화리 2,전남 여수시 화정면 상화리 2,N,1,0,0,0,0,0,1,0,0,여수시(관광과),061-659-3892,09:00~ 21:00,Jan-15,,,,,,,,,,
1050,공중화장실,하화도 화장실,"전라남도 여수시 화정면 아랫꽃섬1길 1-4, 마을창고",전라남도 여수시 화정면 하화리 231번지 1호 마을창고,N,1,2,0,0,0,0,2,0,0,여수시(관광과),061-659-3892,07:00~ 19:00,Jan-15,,,,,,,,,,
1051,간이화장실,화태 임시 화장실,전남 여수시 남면 달밭금길 53,전남 여수시 남면 화태리 44,N,1,1,0,0,0,0,1,0,0,여수시(관광과),061-659-3892,24시간,Jan-15,,,,,,,,,,
1052,간이화장실,성두고개 화장실,전남 여수시 돌산읍 율림리 산171-4,전남 여수시 돌산읍 율림리 산171-4,N,1,1,0,0,0,0,1,0,0,여수시(관광과),061-659-3892,24시간,Jan-00,,,,,,,,,,
1053,공중화장실,"남면 안도 매표소
 화장실",전남 여수시 남면 안도리 936-2,전남 여수시 남면 안도리 936-2,N,1,2,0,0,0,0,2,0,0,여수시(관광과),061-659-3892,24시간,Jan-15,,,,,,,,,,
1054,간이화장실,화태 치끝 화장실,전남 여수시 남면 화태리 337-8,전남 여수시 남면 화태리 337-8,N,1,1,0,0,0,0,1,0,0,여수시(관광과),061-659-3892,24시간,Jan-18,,,,,,,,,,
1055,공중화장실,"여자만 연안생태
 휴양마을 화장실",전남 여수시 소라면 복산리 산555-6,전남 여수시 소라면 복산리 산555-6,N,1,3,1,0,0,0,4,1,0,여수시(관광과),061-659-3892,24시간,Jan-19,,,,,,,,,,
1056,개방화장실,이순신도서관,전남 여수시 웅천6길 51,전남 여수시 웅천동 1820-2,N,8,11,4,0,0,0,8,4,0,여수시(이순신도서관),061-659-2850,09:00~22:00,Jan-19,,,,,,,,,,
1057,개방화장실,쌍봉도서관,전남 여수시 학동서4길 18-12,전남 여수시 학동 65,N,0,0,6,0,1,0,0,0,1,여수시(쌍봉도서관),061-659-4777,09:00~22:00,Jan-93,,,,,,,,,,
1058,개방화장실,현암도서관,전남 여수시 충민사길 43,전남 여수시 덕충동 산 117-9,N,16,15,2,0,0,0,2,2,0,여수시(현암도서관),061-659-4799,09:00~22:00,Jan-85,,,,,,,,,,
1059,개방화장실,환경도서관,"전남 여수시 문수로 53-32(문수동, 여수환경도서관)",전남 여수시 문수동 169,N,2,2,2,0,0,0,4,2,0,여수시(환경도서관),061-659-4811,09:00~22:00,Jan-07,,,,,,,,,,
1060,개방화장실,소라도서관,전남 여수시 소라면 덕양로 344,전남 여수시 소라면 덕양리 892,N,2,3,0,0,0,0,2,0,0,여수시(소라도서관),061-659-4833,09:00~17:00,Jan-98,,,,,,,,,,
1061,개방화장실,돌산도서관,전남 여수시 돌산읍 강남해안로 129,전남 여수시 돌산읍 우두리 1117-2,N,12,8,2,2,0,0,0,2,0,여수시(돌산도서관),061-659-4831,09:00~22:00,Jan-98,,,,,,,,,,
1062,개방화장실,율촌도서관,"전남 여수시 율촌면 율촌로 100-11 (조화리, 시립율촌도서관)",전남 여수시 율촌면 조화리 65-1,N,1,3,1,0,0,0,2,1,0,여수시(율촌도서관),061-659-4843,09:00~18:00,Jan-05,,,,,,,,,,
1063,개방화장실,전라남도학생교육문화회관 본관,전남 여수시 대통1길 55(화장동),전남 여수시 화장동 945,N,4,3,1,1,0,0,4,1,0,전라남도학생교육문화회관,061-808-0114,09:00~18:00,Jan-08,,,,,,,,,,
1064,개방화장실,전라남도학생교육문화회관 교육관,전남 여수시 대통1길 55(화장동),전남 여수시 화장동 945,N,3,3,1,1,0,0,4,1,0,전라남도학생교육문화회관,061-808-0114,09:00~18:00,Jan-09,,,,,,,,,,
1065,공중화장실,웅천 해변문화공원,전남 여수시 웅천동 1899-2,전남 여수시 웅천동 1899-2,N,8,4,1,0,0,0,2,1,0,여수시(공원과),061-659-4628,24시간,Jan-16,,,,,,,,,,
1066,공중화장실,강남정공원,전남 여수시 강남해안로 129,전남 여수시 돌산읍 우두리 1117-2,N,2,1,1,0,0,0,2,1,0,여수시(공원과),061-659-4628,24시간,Jan-90,,,,,,,,,,
1067,공중화장실,돌산공원 정상,전남 여수시 돌산읍 우두리 801-20,전남 여수시 돌산읍 우두리 801-20,N,2,1,1,0,0,0,4,1,0,여수시(공원과),061-659-4628,24시간,Jan-98,,,,,,,,,,
1068,공중화장실,돌산공원 매점뒤,전남 여수시 돌산읍 우두리 368-24,전남 여수시 돌산읍 우두리 368-24,N,2,1,1,0,0,0,2,1,0,여수시(공원과),061-659-4628,24시간,Jan-04,,,,,,,,,,
1069,공중화장실,왕심천공원,전남 여수시 둔덕동 439-2,전남 여수시 둔덕동 439-2,N,1,1,0,0,0,0,1,0,0,여수시(공원과),061-659-4628,24시간,Jan-05,,,,,,,,,,
1070,공중화장실,직포마을 화장실,전남 여수시 남면 두모리 산202-5,전남 여수시 남면 우두로 272,N,1,3,1,0,0,0,4,1,0,여수시(관광과),061-659-3892,24시간,Jan-12,,,,,,,,,,
1071,개방화장실,쌍봉시장,전남 여수시 학동2길7,전남 여수시 학동 35-3,N,2,2,0,0,0,0,3,0,0,여수시(지역경제과),061-659-4542,24시간,Jan-87,,,,,,,,,,
1072,공중화장실,돌산대교 화장실,전남 여수시 남산동 43-17,전남 여수시 남산동 43-17,N,4,6,1,0,0,0,7,1,1,여수시(관광과),061-659-3892,24시간,Jan-04,,,,,,,,,,
1073,공중화장실,계동피서지 화장실 및 샤워장,전남 여수시 계동해안길51,전남 여수시 돌산읍 평사리 16,N,2,4,0,0,0,0,3,0,0,여수시(관광과),061-659-3892,24시간,Jan-05,,,,,,,,,,
1074,공중화장실,손양원목사유적공원 화장실,전남 여수시 율촌면 신풍리 16-17,전남 여수시 율촌면 신풍리 16-17,N,1,3,1,0,0,0,4,1,0,여수시(관광과),061-659-3892,24시간,Jan-12,,,,,,,,,,
1075,공중화장실,학동마을 화장실,전남 여수시 남면 우학리 967,전남 여수시 남면 우학리 967,N,2,2,1,0,0,0,4,1,0,여수시(관광과),061-659-3892,24시간,Jan-13,,,,,,,,,,
1076,공중화장실,심포마을 화장실,전남 여수시 남면 심장리 874-16,전남 여수시 남면 심장리 874-16,N,2,2,0,0,0,0,3,0,0,여수시(관광과),061-659-3892,24시간,Jan-12,,,,,,,,,,
1077,공중화장실,장지마을 화장실,전남 여수시 심장리 143-8,전남 여수시 남면 장지해안길 5,N,1,2,0,0,0,0,2,0,0,여수시(관광과),061-659-3892,24시간,Jan-12,,,,,,,,,,
1078,공중화장실,신덕해수욕장,전남 여수시 신덕2길 10,전남 여수시 신덕동 595-5,N,2,4,0,0,0,0,3,0,0,여수시(해양항만레저과),061-659-3968,24시간,Jan-07,,,,,,,,,,
1079,공중화장실,모사금해수욕장,전라남도 여수시 오천3길 58 (오천동),전라남도 여수시 오천동 908번지 11호,N,2,2,1,1,0,0,2,1,0,여수시(해양항만레저과),061-659-3968,24시간,Jan-03,,,,,,,,,,
1080,공중화장실,오천동 팔각정아래,전라남도 여수시 오천3길 42-2 (오천동),전라남도 여수시 오천동 130번지,N,2,2,0,0,0,0,4,0,0,여수시(해양항만레저과),061-659-3968,24시간,Jan-97,,,,,,,,,,
1081,공중화장실,낭도피서지,전남 여수시 화정면 여산길 142-20,전남 여수시 화정면 낭도리 573-5,N,1,1,0,0,0,0,2,0,0,여수시(해양항만레저과),061-659-3968,09:00~18:00,Jan-12,,,,,,,,,,
1082,공중화장실,거북선 앞,전남 여수시 돌산로 3617-38,전남 여수시 돌산읍 우두리 810-3,N,5,6,1,0,0,0,8,1,0,여수시(회계과),061-659-3216,24시간,Jan-02,,,,,,,,,,
1083,공중화장실,돌산대교 밑,전라남도 여수시 돌산읍 돌산로 3617-7,전라남도 여수시 돌산읍 우두리 816번지,N,4,6,1,0,0,0,6,1,0,여수시(회계과),061-659-3216,24시간,Jan-84,,,,,,,,,,
1084,개방화장실,여수시청,전남 여수시 시청로 1,전남 여수시 학동 100번지,N,30,35,1,0,0,0,30,1,0,여수시(회계과),061-659-3223,06:00~24:00,Jan-80,,,,,,,,,,
1085,개방화장실,구)보건소,전남 여수시 시청동 1길 23,전남 여수시 학동 174번지,N,8,9,1,0,0,0,9,2,0,여수시(회계과),061-659-3223,06:00~24:00,Jan-88,,,,,,,,,,
1086,개방화장실,CCTV관제센터,전남 여수시 시청로 1,전남 여수시 학동 100번지,N,9,8,1,0,0,0,8,1,0,여수시(회계과),061-659-3223,06:00~24:00,Jan-08,,,,,,,,,,
1087,공중화장실,미관광장,전남 여수시 여서1로 101,전남 여수시 여서동 222-2,N,2,3,0,0,0,0,5,0,0,여수시(회계과),061-659-5252,24시간,Jan-06,,,,,,,,,,
1088,개방화장실,여서청사 의회동,전남 여수시 여서1로 101,전남 여수시 여서동 222-2,N,13,14,0,0,0,0,6,0,0,여수시(회계과),061-659-5252,09:00~18:00,Jan-90,,,,,,,,,,
1089,개방화장실,중부민원출장소,전남 여수시 여서1로 107,전남 여수시 여서동 222,N,2,3,0,0,0,0,3,0,0,여수시(회계과),061-659-5252,24시간,Jan-90,,,,,,,,,,
1090,개방화장실,문수청사,전남 여수시 여문2로 124,전남 여수시 문수동 640-2,N,10,17,0,0,0,0,15,0,0,여수시(회계과),061-659-5252,24시간,Jan-17,,,,,,,,,,
1091,공중화장실,향일암버스승강장,전남 여수시 돌산읍 율림리 38-4,전남 여수시 돌산읍 율림리 38-4,N,1,1,0,0,0,0,2,0,0,여수시(기후생태과),061-659-3821,24시간,Jan-12,,,,,,,,,,
1092,공중화장실,나진버스승강장,전남 여수시 화양면 나진리 436-9,전남 여수시 화양면 나진리 436-9,N,2,1,0,0,0,0,4,0,0,여수시(기후생태과),061-659-3821,24시간,Jan-14,,,,,,,,,,
1093,간이화장실,백야등대,"전라남도 여수시 화정면 백야등대길 48, 해상교통 관제센터",전라남도 여수시 화정면 백야리 10번지 13호 해상교통 관제센터,N,3,2,0,0,0,0,2,0,0,여수시(기후생태과),061-659-3821,24시간,Jan-09,,,,,,,,,,
1094,공중화장실,자산공원(빠삐용관),전라남도 여수시 자산공원길 88 (종화동),전라남도 여수시 종화동 3번지,N,2,2,0,0,0,0,4,0,0,여수시(문화예술과),061-659-3781,09:00~18:00,Jan-07,,,,,,,,,,
1095,공중화장실,선소유적공원,전남 여수시 시전동 745-1,전남 여수시 시전동 745-1,N,2,2,0,0,0,0,3,1,0,여수시(문화예술과),061-659-4758,24시간,Jan-03,,,,,,,,,,
1096,공중화장실,웅천 오충사,전남 여수시 웅천동 1805,전남 여수시 웅천동 1805,N,4,2,1,1,1,0,7,1,1,여수시(문화예술과),061-659-4758,24시간,Jan-16,,,,,,,,,,
1097,공중화장실,웅천 자당공원(관리사),전남 여수시 신월로 195,전남 여수시 웅천동 1849,N,1,1,0,0,0,0,2,0,0,여수시(문화예술과),061-659-4758,09:00~18:00,Jan-16,,,,,,,,,,
1098,공중화장실,웅천 자당공원(주차장),전남 여수시 신월로 195,전남 여수시 웅천동 1849,N,4,3,1,1,0,0,7,1,1,여수시(문화예술과),061-659-4758,24시간,Jan-16,,,,,,,,,,
1099,공중화장실,여문공원,전남 여수시 문수동 126,전남 여수시 문수동 126,N,2,2,1,0,0,0,2,1,0,여수시(공원과),061-659-4628,24시간,Jan-99,,,,,,,,,,
1100,개방화장실,율촌농협주유소,전남 여수시 율촌면 율촌로 110 (조화리),,N,2,2,0,0,0,0,2,2,0,율촌농협주유소,061-685-5125,08:00~18:00,Jan-09,,,,,,,,,,
1101,개방화장실,이순신대교 주유소,전남 여수시 이순신대로 272,,Y,0,2,0,0,0,0,2,0,0,이순신대교 주유소,061-655-5151,06:00~23:50,Jan-17,,,,,,,,,,
1102,개방화장실,한가득주유소,전남 여수시 이순신대로 286 (묘도동),,N,1,1,0,0,0,0,1,1,0,한가득주유소,061-)686-7084,06:00~23:00,Jan-18,,,,,,,,,,
1103,개방화장실,수달충전소,전남 여수시 좌수영로 1162 (주삼동),,N,2,2,0,0,0,0,2,2,0,수달충전소,061-682-4880,06:00~23:00,Jan-06,,,,,,,,,,
1104,개방화장실,현대주유소,"전남 여수시 좌수영로 1246 (해산동, )",,N,1,2,0,0,0,0,2,2,0,현대주유소,061-692-5270,06:00~23:00,Jan-14,,,,,,,,,,
1105,개방화장실,문화주유소,전남 여수시 좌수영로 387 (미평동),,N,2,2,0,0,0,0,2,2,0,문화주유소,061-652-3211,06:00~22:00,Jan-12,,,,,,,,,,
1106,개방화장실,(주)현우흥진제1주유소,"전남 여수시 좌수영로 415 (미평동, 흥진주유소)",,N,2,2,0,0,0,0,2,2,0,(주)현우흥진제1주유소,061-)654-6456,06:00~23:00,Jan-01,,,,,,,,,,
1107,개방화장실,대성에너지,전남 여수시 좌수영로 632 (둔덕동),,N,1,1,0,0,0,0,1,1,0,대성에너지,061-)654-1901,05:30~23:00,Jan-07,,,,,,,,,,
1108,개방화장실,구봉가스2충전소,전남 여수시 좌수영로 656 (둔덕동),,N,1,2,0,0,0,0,1,1,0,구봉가스2충전소,061-)651-5555,06:00~23:00,Jan-89,,,,,,,,,,
1109,개방화장실,반디에너지 여수점 충전소,전남 여수시 한재로 9 (여서동),,N,2,2,0,0,0,0,1,1,0,반디에너지 여수점 충전소,061-651-4998,09:00~18:00,Jan-00,,,,,,,,,,
1110,개방화장실,죽림주유소,전남 여수시 소라면 덕양로 97,,N,1,1,0,0,0,0,1,1,0,죽림주유소,061-)685-5138,00:00~23:50,Jan-10,,,,,,,,,,
1111,개방화장실,공항주유소,"전남 여수시 소라면 여순로 146 (대포리, )",,N,2,2,0,0,0,0,2,2,0,공항주유소,061-)686-0044,06:00~21:00,Jan-95,,,,,,,,,,
1112,개방화장실,거북선주유소,"전남 여수시 소라면 여순로 179 (대포리, 거북선주유소)",,Y,0,1,0,0,0,0,1,0,0,거북선주유소,061-)692-6244,06:00~21:00,Jan-95,,,,,,,,,,
1113,개방화장실,여수수협주유소,전남 여수시 소라면 죽림중앙로 5 (죽림리),,N,1,2,0,0,0,0,2,2,0,여수수협주유소,061-)692-8223,07:00~20:00,Jan-11,,,,,,,,,,
1114,개방화장실,여수중앙주유소,전남 여수시 소호로 622 (학동),,N,1,2,0,0,0,0,2,2,0,여수중앙주유소,061-)684-4777,06:00~23:00,Jan-93,,,,,,,,,,
1115,개방화장실,즐거운주유소,전남 여수시 시청로 171 (여천동),,N,1,1,0,0,0,0,1,1,0,즐거운주유소,061-683-2200,06:00~23:00,Jan-04,,,,,,,,,,
1116,개방화장실,해솔주유소,전남 여수시 시청로 230 (여천동),,N,1,0,0,0,0,0,1,1,0,해솔주유소,061-)681-2103,06:00~23:00,Jan-19,,,,,,,,,,
1117,개방화장실,세영주유소,"전남 여수시 신월로 496 (신월동, 주유소)",,N,2,2,0,0,0,0,1,1,0,세영주유소,061-642-2827,06:00~23:00,Jan-01,,,,,,,,,,
1118,개방화장실,국동주유소,전남 여수시 신월로 725 (국동),,Y,0,1,0,0,0,0,2,0,0,국동주유소,061-641-5159,00:00~23:50,Jan-97,,,,,,,,,,
1119,개방화장실,여천가스충전소,전남 여수시 쌍봉로 258 (시전동),,N,1,2,0,0,0,0,1,1,0,여천가스충전소,061-684-0777,00:00~23:50,Jan-11,,,,,,,,,,
1120,개방화장실,여수산단주유소,전남 여수시 여수산단로 179 (주삼동),,N,1,2,0,0,0,0,1,1,0,여수산단주유소,061-)684-5189,06:00~23:00,Jan-06,,,,,,,,,,
1121,개방화장실,"임시주차장
(족구장)",전남 여수시 여천체육공원길 49,전남 여수시 시전동 109,N,2,5,0,0,0,0,4,0,0,여수시(체육지원과),061-)659-4667,24시간,Jan-02,,,,,,,,,,
1122,개방화장실,망마보조경기장,전남 여수시 여천체육공원길 49,전남 여수시 시전동 109,N,3,4,0,0,0,0,2,0,0,여수시(체육지원과),061-)659-4667,24시간,Jan-03,,,,,,,,,,
1123,개방화장실,망마게이트볼장,전남 여수시 여천체육공원길 49,전남 여수시 시전동 109,N,3,3,0,0,0,0,3,0,0,여수시(체육지원과),061-)659-4667,07:00~ 18:00,Jan-04,,,,,,,,,,
1124,개방화장실,진남체육공원 진남경기장,전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,41,61,4,5,0,0,66,4,0,여수시(체육지원과),061-)659-4679,24시간,Jan-90,,,,,,,,,,
1125,개방화장실,진남체육공원 진남스포츠센터,전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,6,6,1,1,0,0,19,1,0,여수시(체육지원과),061-)659-4679,07:00~ 23:00,Jan-08,,,,,,,,,,
1126,개방화장실,진남체육공원 진남야구장,전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,7,9,1,1,0,0,3,0,0,여수시(체육지원과),061-)659-4679,07:00~ 23:00,Jan-08,,,,,,,,,,
1127,개방화장실,진남체육공원 진남테니스장(내),전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,4,6,2,0,0,0,8,1,0,여수시(체육지원과),061-)659-4679,07:00~ 23:00,Jan-15,,,,,,,,,,
1128,개방화장실,진남체육공원 진남테니스장(외),전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,4,6,0,0,0,0,5,0,0,여수시(체육지원과),061-)659-4679,24시간,Jan-15,,,,,,,,,,
1129,개방화장실,진남체육공원 인라인경기장(내),전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,2,4,0,0,0,0,3,2,0,여수시(체육지원과),061-)659-4679,07:00~ 23:00,Jan-06,,,,,,,,,,
1130,개방화장실,진남체육공원 인라인경기장(외),전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,2,4,0,0,0,0,3,1,0,여수시(체육지원과),061-)659-4679,24시간,Jan-06,,,,,,,,,,
1131,개방화장실,진남체육공원 씨름장,전남 여수시 진남체육관길 74(오림동),전남 여수시 오림동 104,N,2,3,0,0,0,0,2,1,0,여수시(체육지원과),061-)659-4679,07:00~ 23:00,Jan-04,,,,,,,,,,
